RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
102001,0,United States,Country,"",274900.0,269900.0,270000.0,279000.0,289000.0,298000.0,299900.0,299900.0,299888.0,299000.0,298577.0,297900.0,294900.0,289900.0,289900.0,299000.0,305000.0,315000.0,322420.0,324000.0,319900.0,315000.0,310990.0,309900.0,300000.0,299900.0,299500.0,305000.0,315000.0,318850.0,327000.0,337500.0,339999.0,342000.0,344000.0,343990.0,339000.0,330900.0,329900.0,339999.0,352670.0,370000.0,380000.0,385000.0,379900.0
394913,1,"New York, NY",Msa,NY,519900.0,515000.0,519000.0,535000.0,549000.0,550000.0,564900.0,565000.0,550000.0,549000.0,550000.0,553800.0,550000.0,549000.0,549000.0,550000.0,565000.0,575000.0,579900.0,579900.0,575000.0,569000.0,575000.0,579000.0,579000.0,579000.0,575000.0,584900.0,599000.0,599000.0,599000.0,606300.0,629000.0,649000.0,649000.0,650000.0,655786.0,659999.0,669000.0,675000.0,675000.0,675000.0,670000.0,650000.0,645000.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,795900.0,799000.0,799000.0,809000.0,845000.0,850000.0,849900.0,849000.0,825000.0,798700.0,780000.0,775000.0,759900.0,749900.0,749000.0,750000.0,780000.0,799500.0,825000.0,840000.0,848000.0,849000.0,840000.0,848888.0,849000.0,849000.0,850000.0,898000.0,900000.0,860000.0,884995.0,929000.0,955000.0,975000.0,959990.0,975000.0,990000.0,999000.0,998000.0,999093.0,1025000.0,1000000.0,999999.0,999000.0,975000.0
394463,3,"Chicago, IL",Msa,IL,305000.0,299000.0,299000.0,319900.0,339000.0,349000.0,349900.0,345000.0,335000.0,329500.0,325000.0,319900.0,310000.0,299900.0,299900.0,320000.0,339000.0,349000.0,349000.0,345000.0,339000.0,329900.0,325000.0,319900.0,313999.0,300000.0,305000.0,324900.0,330000.0,329000.0,335000.0,345000.0,349900.0,350000.0,350000.0,349000.0,339000.0,332000.0,325000.0,340000.0,349900.0,350000.0,359000.0,354900.0,349900.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,339999.0,340990.0,345000.0,350000.0,359990.0,369293.0,369000.0,359500.0,349900.0,343945.0,339900.0,339900.0,339000.0,335000.0,332500.0,339900.0,349900.0,355000.0,359900.0,354000.0,349834.0,344830.0,340000.0,340000.0,339990.0,335000.0,330900.0,337900.0,340000.0,339900.0,349500.0,355000.0,359900.0,359900.0,359999.0,359000.0,354990.0,351900.0,351990.0,359900.0,368500.0,379000.0,389900.0,390000.0,395000.0
394974,5,"Philadelphia, PA",Msa,PA,259000.0,249900.0,249000.0,250000.0,262500.0,269900.0,278000.0,280000.0,279900.0,274900.0,273500.0,274500.0,267000.0,257880.0,250000.0,254900.0,269000.0,279000.0,289900.0,294990.0,295000.0,290900.0,295000.0,296750.0,290000.0,285000.0,284500.0,289900.0,295000.0,299000.0,310000.0,325000.0,335000.0,339000.0,334999.0,339900.0,330000.0,324900.0,319000.0,319900.0,324900.0,330000.0,334990.0,337000.0,325000.0
394692,6,"Houston, TX",Msa,TX,315146.0,317725.0,318083.0,322097.0,327961.0,332376.0,332866.0,332279.0,322978.0,318181.0,313286.0,312796.0,308391.0,308391.0,308391.0,312307.0,318181.0,323076.0,323957.0,322097.0,318083.0,313163.0,309360.0,309370.0,306335.0,302888.0,302507.0,304474.0,311236.0,309859.0,318181.0,324358.0,327971.0,332768.0,338251.0,339000.0,339000.0,334900.0,333000.0,336990.0,349000.0,357760.0,368765.0,374900.0,373885.0
395209,7,"Washington, DC",Msa,DC,439990.0,427990.0,426533.0,439000.0,458900.0,460000.0,475000.0,489000.0,475000.0,465000.0,459990.0,459900.0,449900.0,439900.0,439900.0,450000.0,475000.0,490000.0,499000.0,499000.0,489000.0,479900.0,485000.0,485000.0,485000.0,479900.0,480000.0,499900.0,524900.0,514900.0,529000.0,550000.0,550000.0,549900.0,540000.0,529990.0,520000.0,519000.0,509000.0,512790.0,514900.0,527435.0,529000.0,529990.0,520000.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,398605.0,398605.0,398605.0,398605.0,402641.0,403146.0,403549.0,403649.0,403549.0,402641.0,402641.0,402641.0,399614.0,398605.0,398605.0,398605.0,402641.0,402641.0,403649.0,403650.0,408696.0,404659.0,403650.0,403650.0,403650.0,404003.0,403650.0,403650.0,408696.0,402641.0,402641.0,402641.0,403650.0,408696.0,408696.0,409000.0,405000.0,400990.0,399999.0,399900.0,409000.0,425000.0,445000.0,455000.0,469900.0
394347,9,"Atlanta, GA",Msa,GA,307300.0,309000.0,313897.0,321895.0,335000.0,349000.0,349999.0,349900.0,334500.0,329000.0,325000.0,320435.0,316000.0,314900.0,309900.0,315000.0,325900.0,339000.0,349000.0,345000.0,339244.0,334500.0,329900.0,325990.0,325000.0,323695.0,321889.0,325000.0,330000.0,325900.0,335000.0,347825.0,350000.0,355000.0,358900.0,354914.0,350000.0,349900.0,349900.0,357800.0,374500.0,399000.0,399900.0,403380.0,405000.0
